PLACECODE,MUNICIPALITY
5312,02/404 - BELLEVUE
5384,07/401 - BELLWOOD
5504,02/405 - BEN AVON
5520,02/406 - BEN AVON HEIGHT
5536,01/403 - BENDERSVILLE
5584,24/201 - BENEZETTE
5608,14/201 - BENNER
5616,09/202 - BENSALEM
5648,55/402 - BENSON
5672,62/403 - BENTLEYVILLE
5680,19/401 - BENTON
5688,19/202 - BENTON
5696,35/202 - BENTON
5776,55/403 - BERLIN
5784,63/201 - BERLIN
5816,06/204 - BERN
5848,06/403 - BERNVILLE
5856,22/401 - BERRYSBURG
5880,01/201 - BERWICK
5888,19/402 - BERWICK
5936,37/401 - BESSEMER
5976,63/401 - BETHANY
5992,03/201 - BETHEL
6008,06/205 - BETHEL
6024,23/201 - BETHEL
6032,29/203 - BETHEL
6040,38/201 - BETHEL
6064,02/407 - BETHEL PARK
6066,48/101 - BETHLEHEM
6088,48/301 - BETHLEHEM
6240,04/405 - BIG BEAVER
6288,17/203 - BIGLER
6296,01/404 - BIGLERVILLE
6344,33/401 - BIG RUN
6432,52/203 - BINGHAM
6504,06/404 - BIRDSBORO
6544,15/201 - BIRMINGHAM
6552,23/202 - CHADDS FORD
6560,31/402 - BIRMINGHAM
6640,55/203 - BLACK
6672,40/202 - BLACK CREEK
6736,11/204 - BLACKLICK
6752,32/203 - BLACK LICK
6824,50/401 - BLAIN
6840,62/202 - BLAINE
6872,07/203 - BLAIR
6904,32/402 - BLAIRSVILLE
6928,35/402 - BLAKELY
7000,02/408 - BLAWNOX
7008,17/204 - BLOOM
7024,05/202 - BLOOMFIELD
7032,20/203 - BLOOMFIELD
7040,50/402 - BLOOMFIELD
7088,51/201 - BLOOMING GROVE
7120,20/401 - BLOOMING VALLEY
7128,19/501 - BLOOMSBURG
7152,58/201 - BLOSS
7160,58/401 - BLOSSBURG
7336,53/202 - BLYTHE
7416,03/202 - BOGGS
7424,14/202 - BOGGS
7432,17/205 - BOGGS
7480,64/404 - BOLIVAR
7560,01/412 - BONNEAUVILLE
7664,04/101 - VANPORT
7712,55/404 - BOSWELL
7880,13/402 - BOWMANSTOWN
7960,06/405 - BOYERTOWN
7976,02/409 - BRACKENRIDGE
7992,02/410 - BRADDOCK
8008,02/411 - BRADDOCK HILLS
8032,17/206 - BRADFORD
8040,42/301 - BRADFORD
8048,42/202 - BRADFORD
8064,02/412 - BRADFORDWOODS
8096,10/203 - BRADY
8112,16/203 - BRADY
8120,17/207 - BRADY
8128,31/202 - BRADY
8136,41/204 - BRADY
8152,03/203 - BRADYS BEND
8176,65/201 - BRAINTRIM
8200,53/203 - BRANCH
8304,44/202 - BRATTON
8344,06/206 - BRECKNOCK
8352,36/202 - BRECKNOCK
8416,02/413 - BRENTWOOD
8472,19/404 - BRIAR CREEK
8480,19/203 - BRIAR CREEK
8568,46/402 - BRIDGEPORT
8592,09/203 - BRIDGETON
8624,02/414 - BRIDGEVILLE
8632,04/406 - BRIDGEWATER
8648,57/204 - BRIDGEWATER
8680,04/201 - BRIGHTON
8744,17/401 - BRISBIN
8760,09/401 - BRISTOL
8768,09/101 - BRISTOL
8880,05/203 - BROADTOP
8888,31/403 - BROAD TOP CITY
8960,33/402 - BROCKWAY
9024,61/201 - BROKENSTRAW
9072,58/202 - BROOKFIELD
9080,23/402 - BROOKHAVEN
9128,57/205 - BROOKLYN
9224,33/403 - BROOKVILLE
9256,55/204 - BROTHERS VALLEY
9280,41/205 - BROWN
9288,44/203 - BROWN
9400,11/403 - BROWNSTOWN
9432,26/402 - BROWNSVILLE
9472,26/201 - BROWNSVILLE
9528,10/401 - BRUIN
9568,29/204 - BRUSH CREEK
9624,32/204 - BRUSH VALLEY
9696,46/403 - BRYN ATHYN
9760,40/203 - BUCK
9816,09/204 - BUCKINGHAM
9824,63/202 - BUCKINGHAM
10000,10/204 - BUFFALO
10008,50/201 - BUFFALO
10016,59/201 - BUFFALO
10032,62/203 - BUFFALO
10104,32/205 - BUFFINGTON
10152,26/202 - BULLSKIN
10224,62/404 - BURGETTSTOWN
10240,08/403 - BURLINGTON
10248,08/206 - BURLINGTON
10256,44/401 - BURNHAM
10272,14/203 - BURNSIDE
10280,17/402 - BURNSIDE
10288,17/208 - BURNSIDE
10344,03/204 - BURRELL
10352,32/206 - BURRELL
10400,48/203 - BUSHKILL
10456,01/202 - BUTLER
10464,10/301 - BUTLER
10472,10/101 - BUTLER
10480,40/204 - BUTLER
10488,53/204 - BUTLER
10680,03/205 - CADOGAN
10696,06/207 - CAERNARVON
10704,36/203 - CAERNARVON
10768,62/405 - CALIFORNIA
10792,16/401 - CALLENSBURG
10800,10/402 - CALLERY
10808,55/425 - CALLIMONT
10824,15/101 - CALN
10880,11/205 - CAMBRIA
10904,20/204 - CAMBRIDGE
10912,20/402 - CAMBRIDGE SPRIN
11000,21/401 - CAMP HILL
11056,63/203 - CANAAN
11080,60/202 - CANAL
11120,32/207 - CANOE
11152,62/406 - CANONSBURG
11160,08/404 - CANTON
11168,08/207 - CANTON
11176,62/204 - CANTON
11208,31/203 - CARBON
11232,35/301 - CARBONDALE
11240,35/203 - CARBONDALE
11272,21/402 - CARLISLE
11328,30/401 - CARMICHAELS
11336,02/415 - CARNEGIE
11416,50/202 - CARROLL
11424,62/205 - CARROLL
11432,66/201 - CARROLL
11456,11/404 - CARROLLTOWN
11472,01/413 - CARROLL VALLEY
11560,41/206 - CASCADE
11600,31/204 - CASS
11608,53/205 - CASS
11616,11/405 - CASSANDRA
11624,55/405 - CASSELMAN
11632,31/404 - CASSVILLE
11640,18/204 - CASTANEA
11680,02/416 - CASTLE SHANNON
11720,39/402 - CATASAUQUA
11736,19/405 - CATAWISSA
11744,19/204 - CATAWISSA
11760,07/204 - CATHARINE
11792,62/206 - CECIL
12016,04/202 - CENTER
12024,10/205 - CENTER
12032,30/202 - CENTER
12040,32/208 - CENTER
12104,06/406 - CENTERPORT
12184,20/403 - CENTERVILLE
12224,62/407 - CENTERVILLE
12296,55/406 - CENTRAL CITY
12312,19/406 - CENTRALIA
12344,06/208 - CENTRE
12360,50/203 - CENTRE
12368,54/203 - CENTRE
12376,14/402 - CENTRE HALL
12408,42/203 - CERES
12496,02/417 - CHALFANT
12504,09/402 - CHALFONT
12536,28/401 - CHAMBERSBURG
12584,66/202 - CHANCEFORD
12640,18/205 - CHAPMAN
12656,48/403 - CHAPMAN QUARRIE
12672,54/204 - CHAPMAN
12704,62/408 - CHARLEROI
12728,58/203 - CHARLESTON
12744,15/202 - CHARLESTOWN
12848,62/207 - CHARTIERS
12880,58/204 - CHATHAM
12968,46/102 - CHELTENHAM
12992,10/206 - CHERRY
13000,56/201 - CHERRY
13056,61/202 - CHERRY GROVE
13072,32/209 - CHERRYHILL
13096,63/204 - CHERRY RIDGE
13120,32/403 - CHERRY TREE
13136,60/203 - CHERRYTREE
13152,10/403 - CHERRY VALLEY
13192,11/206 - CHEST
13200,17/209 - CHEST
13208,23/301 - CHESTER
13232,23/403 - CHESTER HEIGHTS
13240,17/403 - CHESTER HILL
13264,23/203 - CHESTER
13328,45/202 - CHESTNUTHILL
13384,11/406 - CHEST SPRINGS
13392,02/418 - CHESWICK
13440,10/413 - CHICORA
13488,04/203 - CHIPPEWA
13504,57/206 - CHOCONUT
13512,36/403 - CHRISTIANA
13608,02/419 - CHURCHILL
13704,02/302 - CLAIRTON
13760,52/204 - CLARA
13776,61/402 - CLARENDON
13800,16/402 - CLARION
13808,16/204 - CLARION
13832,43/401 - CLARK
13864,35/403 - CLARKS GREEN
13880,35/404 - CLARKS SUMMIT
13896,30/402 - CLARKSVILLE
13936,10/207 - CLAY
13944,31/205 - CLAY
13960,36/204 - CLAY
14000,62/409 - CLAYSVILLE
14048,10/208 - CLEARFIELD
14056,11/207 - CLEARFIELD
14064,17/404 - CLEARFIELD
14160,38/401 - CLEONA
14184,19/205 - CLEVELAND
14224,57/207 - CLIFFORD
14256,35/204 - CLIFTON
14264,23/404 - CLIFTON HEIGHTS
14320,10/209 - CLINTON
14336,41/207 - CLINTON
14344,60/204 - CLINTON
14352,63/205 - CLINTON
14360,65/202 - CLINTON
14376,60/401 - CLINTONVILLE
14408,33/204 - CLOVER
14520,32/404 - CLYMER
14528,58/205 - CLYMER
14536,49/101 - COAL
14568,62/410 - COAL CENTER
14584,05/402 - COALDALE
14600,53/403 - COALDALE
14640,31/405 - COALMONT
14656,17/405 - COALPORT
14712,15/301 - COATESVILLE
14800,20/404 - COCHRANTON
14832,66/203 - CODORUS
14872,41/208 - COGAN HOUSE
14896,62/411 - COKEBURG
14944,38/202 - COLD SPRING
14960,18/206 - COLEBROOK
14984,06/101 - COLEBROOKDALE
15032,05/204 - COLERAIN
15056,36/205 - COLERAIN
15136,14/204 - COLLEGE
15192,46/404 - COLLEGEVILLE
15208,56/202 - COLLEY
15216,02/102 - COLLIER
15232,23/405 - COLLINGDALE
15376,08/208 - COLUMBIA
15384,36/404 - COLUMBIA
15408,61/203 - COLUMBUS
15432,23/406 - COLWYN
15480,10/210 - CONCORD
15488,23/204 - CONCORD
15504,25/202 - CONCORD
15552,11/208 - CONEMAUGH
15560,32/210 - CONEMAUGH
15568,55/205 - CONEMAUGH
15592,36/206 - CONESTOGA
15632,01/203 - CONEWAGO
15640,22/201 - CONEWAGO
15656,66/204 - CONEWAGO
15672,61/204 - CONEWANGO
15680,55/407 - CONFLUENCE
15728,20/205 - CONNEAUT
15732,32/405 - CREEKSIDE
15736,25/203 - CONNEAUT
15744,20/405 - CONNEAUT LAKE
15760,20/406 - CONNEAUTVILLE
15776,26/301 - CONNELLSVILLE
15784,26/203 - CONNELLSVILLE
15808,10/404 - CONNOQUENESSING
15816,10/211 - CONNOQUENESSING
15824,36/207 - CONOY
15848,46/405 - CONSHOHOCKEN
15872,04/407 - CONWAY
15880,19/206 - CONYNGHAM
15888,40/403 - CONYNGHAM
15904,40/205 - CONYNGHAM
15912,64/203 - COOK
15920,21/201 - COOKE
15960,45/203 - COOLBAUGH
15992,43/201 - COOLSPRING
16040,17/210 - COOPER
16048,47/202 - COOPER
16056,39/403 - COOPERSBURG
16080,60/402 - COOPERSTOWN
16128,39/404 - COPLAY
16144,02/420 - CORAOPOLIS
16232,60/205 - CORNPLANTER
16256,38/402 - CORNWALL
16296,25/301 - CORRY
16304,33/404 - CORSICA
16352,42/204 - CORYDON
16448,52/402 - COUDERSPORT
16568,40/404 - COURTDALE
16656,17/211 - COVINGTON
16664,35/205 - COVINGTON
16680,58/206 - COVINGTON
16728,03/206 - COWANSHANNOCK
16848,02/421 - CRAFTON
16920,10/212 - CRANBERRY
16944,60/206 - CRANBERRY
16960,25/402 - CRANESVILLE
16976,18/207 - CRAWFORD
17048,02/103 - CRESCENT
17136,11/407 - CRESSON
17144,11/209 - CRESSON
17152,53/404 - CRESSONA
17280,31/206 - CROMWELL
17328,62/208 - CROSS CREEK
17416,66/401 - CROSS ROADS
17496,11/210 - CROYLE
17640,01/204 - CUMBERLAND
17648,30/203 - CUMBERLAND
17664,05/205 - CUMBERLAND VALL
17696,41/209 - CUMMINGS
17720,06/103 - CUMRU
17800,14/205 - CURTIN
17840,17/406 - CURWENSVILLE
17848,20/206 - CUSSEWAGO
17976,11/408 - DAISYTOWN
18000,11/409 - DALE
18048,40/405 - DALLAS
18056,40/206 - DALLAS
18072,66/402 - DALLASTOWN
18088,35/405 - DALTON
18104,63/206 - DAMASCUS
18136,47/401 - DANVILLE
18152,23/407 - DARBY
18160,23/102 - DARBY
18192,04/408 - DARLINGTON
18200,04/204 - DARLINGTON
18264,04/205 - DAUGHERTY
18272,22/402 - DAUPHIN
18296,56/203 - DAVIDSON
18360,26/403 - DAWSON
18400,03/404 - DAYTON
18432,11/211 - DEAN
18456,17/212 - DECATUR
18464,44/204 - DECATUR
18496,62/412 - DEEMSTON
18536,43/202 - DEER CREEK
18552,58/207 - DEERFIELD
18560,61/206 - DEERFIELD
18576,53/405 - DEER LAKE
18672,53/206 - DELANO
18680,34/202 - DELAWARE
18688,43/203 - DELAWARE
18696,49/201 - DELAWARE
18704,51/202 - DELAWARE
18736,45/401 - DELAWARE WATER
18760,58/208 - DELMAR
18768,64/419 - DELMONT
18800,66/403 - DELTA
18864,40/207 - DENNISON
18888,36/405 - DENVER
18936,22/202 - DERRY
18944,44/205 - DERRY
18952,47/203 - DERRY
18960,64/405 - DERRY
18968,64/204 - DERRY
19144,21/202 - DICKINSON
19160,35/406 - DICKSON CITY
19208,66/404 - DILLSBURG
19264,57/208 - DIMOCK
19272,51/203 - DINGMAN
19312,06/211 - DISTRICT
19456,10/213 - DONEGAL
19464,62/209 - DONEGAL
19472,64/406 - DONEGAL
19480,64/205 - DONEGAL
19536,62/413 - DONORA
19576,02/422 - DORMONT
19616,40/208 - DORRANCE
19664,06/212 - DOUGLASS
19672,46/201 - DOUGLASS
19696,66/405 - DOVER
19704,66/205 - DOVER
19752,15/403 - DOWNINGTOWN
19784,09/403 - DOYLESTOWN
19792,09/205 - DOYLESTOWN
19856,02/423 - DRAVOSBURG
19864,63/207 - DREHER
19976,12/401 - DRIFTWOOD
20032,36/208 - DRUMORE
20104,09/404 - DUBLIN
20112,29/205 - DUBLIN
20120,31/207 - DUBLIN
20136,17/301 - DUBOIS
20144,41/401 - DUBOISTOWN
20152,31/406 - DUDLEY
20216,26/404 - DUNBAR
20224,26/204 - DUNBAR
20232,58/209 - DUNCAN
20240,50/403 - DUNCANNON
20248,07/402 - DUNCANSVILLE
20296,30/204 - DUNKARD
20328,62/414 - DUNLEVY
20352,35/407 - DUNMORE
20408,18/208 - DUNNSTABLE
20424,40/406 - DUPONT
20432,02/303 - DUQUESNE
20480,09/206 - DURHAM
20512,40/407 - DURYEA
20528,56/401 - DUSHORE
20576,63/208 - DYBERRY
20648,56/402 - EAGLES MERE
20680,06/213 - EARL
20688,36/209 - EARL
20736,48/204 - EAST ALLEN
20776,48/404 - EAST BANGOR
20792,01/405 - EAST BERLIN
20808,62/101 - EAST BETHLEHEM
20824,15/203 - EAST BRADFORD
20840,16/403 - EAST BRADY
20864,15/204 - EAST BRANDYWINE
20880,53/207 - EAST BRUNSWICK
20888,59/202 - EAST BUFFALO
20904,10/405 - EAST BUTLER
20928,49/202 - EAST CAMERON
20930,15/205 - EAST CALN
20952,11/212 - EAST CARROLL
20976,49/203 - EAST CHILLISQUA
20984,36/210 - EAST COCALICO
20992,11/410 - EAST CONEMAUGH
21008,15/206 - EAST COVENTRY
21024,02/104 - EAST DEER
21032,36/211 - EAST DONEGAL
21040,36/212 - EAST DRUMORE
21072,36/213 - EAST EARL
21096,20/207 - EAST FAIRFIELD
21104,15/207 - EAST FALLOWFIEL
21112,20/208 - EAST FALLOWFIEL
21144,62/210 - EAST FINLEY
21156,52/205 - EAST FORK
21160,03/207 - EAST FRANKLIN
21192,15/208 - EAST GOSHEN
21200,46/406 - EAST GREENVILLE
21208,22/203 - EAST HANOVER
21224,38/203 - EAST HANOVER
21232,36/214 - EAST HEMPFIELD
21296,66/206 - EAST HOPEWELL
21304,64/206 - EAST HUNTINGTON
21328,18/209 - EAST KEATING
21336,43/204 - EAST LACKAWANNO
21344,36/215 - EAST LAMPETER
21384,23/408 - EAST LANSDOWNE
21456,32/211 - EAST MAHONING
21464,66/207 - EAST MANCHESTER
21480,15/209 - EAST MARLBOROUG
21496,02/424 - EAST MCKEESPORT
21504,20/209 - EAST MEAD
21576,15/210 - EAST NANTMEAL
21600,46/202 - EAST NORRITON
21616,53/208 - EAST NORWEGIAN
21624,15/211 - EAST NOTTINGHAM
21648,48/302 - EASTON
21664,13/202 - EAST PENN
21680,21/101 - EAST PENNSBORO
21688,36/406 - EAST PETERSBURG
21696,15/212 - EAST PIKELAND
21712,02/425 - EAST PITTSBURGH
21728,66/406 - EAST PROSPECT
21736,05/206 - EAST PROVIDENCE
21752,04/409 - EAST ROCHESTER
21760,09/207 - EAST ROCKHILL
21816,13/403 - EAST SIDE
21864,05/207 - EAST ST CLAIR
21872,45/402 - EAST STROUDSBUR
21896,11/213 - EAST TAYLOR
21928,15/215 - EASTTOWN
21952,53/209 - EAST UNION
21968,04/410 - EASTVALE
21976,64/407 - EAST VANDERGRIF
22000,15/213 - EAST VINCENT
22016,62/415 - EAST WASHINGTON
22048,32/212 - EAST WHEATFIELD
22056,15/214 - EAST WHITELAND
22112,65/203 - EATON
22128,10/406 - EAU CLAIRE
22144,11/411 - EBENSBURG
22264,04/411 - ECONOMY
22296,23/409 - EDDYSTONE
22336,36/216 - EDEN
22456,23/205 - EDGMONT
22520,02/426 - EDGEWOOD
22576,02/427 - EDGEWORTH
22608,25/404 - EDINBORO
22672,40/408 - EDWARDSVILLE
22712,11/412 - EHRENFELD
22800,62/416 - ELCO
22808,11/214 - ELDER
22832,03/405 - ELDERTON
22872,33/205 - ELDRED
22880,41/210 - ELDRED
22888,42/401 - ELDRED
22896,42/205 - ELDRED
22904,45/204 - ELDRED
22912,53/210 - ELDRED
22920,61/207 - ELDRED
22960,25/405 - ELGIN
22992,02/428 - ELIZABETH
23000,02/105 - ELIZABETH
23008,36/217 - ELIZABETH
23016,36/407 - ELIZABETHTOWN
23024,22/403 - ELIZABETHVILLE
23032,15/216 - ELK
23040,16/205 - ELK
23056,58/210 - ELK
23064,61/208 - ELK
23088,25/204 - ELK CREEK
23144,56/204 - ELKLAND
23152,58/402 - ELKLAND
23168,55/206 - ELK LICK
23280,37/402 - ELLPORT
23296,62/417 - ELLSWORTH
23304,37/403 - ELLWOOD CITY
23336,35/206 - ELMHURST
23440,15/404 - ELVERSON
23568,60/403 - EMLENTON
23584,39/405 - EMMAUS
23600,12/402 - EMPORIUM
23616,02/429 - EMSWORTH
23768,37/404 - ENON VALLEY
23832,36/408 - EPHRATA
23840,36/218 - EPHRATA
24000,25/302 - ERIE
24040,32/415 - ERNEST
24160,02/430 - ETNA
24184,52/206 - EULALIA
24248,10/407 - EVANS CITY
24304,05/403 - EVERETT
24336,26/405 - EVERSON
24384,06/214 - EXETER
24392,40/409 - EXETER
24400,40/209 - EXETER
24408,65/204 - EXETER
24432,64/408 - EXPORT
24488,65/401 - FACTORYVILLE
24536,26/406 - FAIRCHANCE
24560,01/406 - FAIRFIELD
24568,20/210 - FAIRFIELD
24592,41/211 - FAIRFIELD
24608,64/207 - FAIRFIELD
24680,55/207 - FAIRHOPE
24752,40/210 - FAIRMOUNT
24832,10/408 - FAIRVIEW
24840,10/214 - FAIRVIEW
24864,25/205 - FAIRVIEW
24888,40/211 - FAIRVIEW
24904,43/205 - FAIRVIEW
24936,66/208 - FAIRVIEW
25104,62/211 - FALLOWFIELD
25112,09/208 - FALLS
25128,65/205 - FALLS
25136,33/405 - FALLS CREEK
25152,04/412 - FALLSTON
25176,28/202 - FANNETT
25272,16/206 - FARMINGTON
25296,58/212 - FARMINGTON
25304,61/209 - FARMINGTON
25360,43/301 - FARRELL
25400,02/202 - FAWN
25408,66/209 - FAWN
25416,66/407 - FAWN GROVE
25440,34/203 - FAYETTE
25456,26/407 - FAYETTE CITY
25560,35/207 - FELL
25584,66/408 - FELTON
25624,14/206 - FERGUSON
25632,17/213 - FERGUSON
25648,34/204 - FERMANAGH
25680,11/413 - FERNDALE
25904,02/203 - FINDLAY
25912,43/206 - FINDLEY
25944,62/418 - FINLEYVILLE
26056,19/207 - FISHING CREEK
26280,06/407 - FLEETWOOD
26296,18/403 - FLEMINGTON
26408,23/410 - FOLCROFT
26512,03/406 - FORD CITY
26520,03/407 - FORD CLIFF
26560,57/401 - FOREST CITY
26592,02/431 - FOREST HILLS
26648,57/209 - FOREST LAKE
26728,48/205 - FORKS
26736,56/205 - FORKS
26752,65/206 - FORKSTON
26760,56/403 - FORKSVILLE
26880,40/410 - FORTY FORT
26896,02/204 - FORWARD
26904,10/215 - FORWARD
26928,40/212 - FOSTER
26936,42/206 - FOSTER
26944,53/211 - FOSTER
27008,39/406 - FOUNTAIN HILL
27088,24/203 - FOX
27096,56/206 - FOX
27112,16/404 - FOXBURG
27120,02/432 - FOX CHAPEL
27232,53/406 - FRACKVILLE
27248,53/212 - FRAILEY
27280,46/203 - FRANCONIA
27312,04/413 - FRANKFORT SPRIN
27320,01/205 - FRANKLIN
27336,04/206 - FRANKLIN
27344,08/209 - FRANKLIN
27352,10/216 - FRANKLIN
27360,11/414 - FRANKLIN
27368,13/203 - FRANKLIN
27376,15/217 - FRANKLIN
27384,19/208 - FRANKLIN
27392,25/206 - FRANKLIN
27400,26/205 - FRANKLIN
27408,30/205 - FRANKLIN
27416,31/208 - FRANKLIN
27424,40/213 - FRANKLIN
27432,41/212 - FRANKLIN
27440,54/205 - FRANKLIN
27448,57/210 - FRANKLIN
27456,60/301 - FRANKLIN
27480,66/210 - FRANKLIN
27552,02/481 - FRANKLIN PARK
27576,66/409 - FRANKLINTOWN
27600,07/205 - FRANKSTOWN
27608,02/206 - FRAZER
27688,43/402 - FREDONIA
27696,54/402 - FREEBURG
27704,01/206 - FREEDOM
27712,04/414 - FREEDOM
27720,07/206 - FREEDOM
27736,61/210 - FREEHOLD
27744,40/411 - FREELAND
27760,48/405 - FREEMANSBURG
27784,03/408 - FREEPORT
27800,30/206 - FREEPORT
27824,43/207 - FRENCH CREEK
27832,60/207 - FRENCH CREEK
27968,57/402 - FRIENDSVILLE
28168,36/219 - FULTON
28264,58/213 - GAINES
28280,52/403 - GALETON
28296,18/210 - GALLAGHER
28328,11/415 - GALLITZIN
28336,11/215 - GALLITZIN
28352,41/213 - GAMBLE
28520,55/408 - GARRETT
28592,33/206 - GASKILL
28720,11/416 - GEISTOWN
28760,52/207 - GENESEE
28792,26/206 - GEORGES
28824,04/415 - GEORGETOWN
28856,26/207 - GERMAN
28936,01/207 - GERMANY
28960,01/407 - GETTYSBURG
29008,12/201 - GIBSON
29024,57/211 - GIBSON
29088,53/407 - GILBERTON
29152,30/207 - GILMORE
29184,03/208 - GILPIN
29224,17/214 - GIRARD
29232,25/407 - GIRARD
29240,25/207 - GIRARD
29264,53/408 - GIRARDVILLE
29320,61/211 - GLADE
29392,04/416 - GLASGOW
29432,02/433 - GLASSPORT
29504,35/208 - GLENBURN
29512,32/406 - GLEN CAMPBELL
29568,48/406 - GLENDON
29592,02/434 - GLENFIELD
29624,17/407 - GLEN HOPE
29720,23/411 - GLENOLDEN
29760,66/410 - GLEN ROCK
30016,66/411 - GOLDSBORO
30128,53/409 - GORDON
30152,17/215 - GOSHEN
30272,17/216 - GRAHAM
30280,17/408 - GRAMPIAN
30416,32/213 - GRANT
30464,08/210 - GRANVILLE
30480,44/206 - GRANVILLE
30600,22/404 - GRATZ
30640,30/208 - GRAY
30728,57/403 - GREAT BEND
30736,57/212 - GREAT BEND
30808,27/202 - GREEN
30816,32/214 - GREEN
30896,28/402 - GREENCASTLE
30920,04/207 - GREENE
30928,18/211 - GREENE
30936,25/208 - GREENE
30944,28/203 - GREENE
30952,30/209 - GREENE
30968,43/208 - GREENE
30976,51/204 - GREENE
31000,07/207 - GREENFIELD
31008,25/209 - GREENFIELD
31016,35/209 - GREENFIELD
31082,62/433 - GREENHILLS
31088,46/407 - GREEN LANE
31192,30/403 - GREENSBORO
31200,64/302 - GREENSBURG
31256,02/435 - GREENTREE
31328,43/403 - GREENVILLE
31336,55/208 - GREENVILLE
31352,06/215 - GREENWICH
31376,17/217 - GREENWOOD
31392,19/209 - GREENWOOD
31400,20/211 - GREENWOOD
31424,34/205 - GREENWOOD
31440,50/204 - GREENWOOD
31472,14/207 - GREGG
31480,59/203 - GREGG
31632,12/202 - GROVE
31656,43/404 - GROVE CITY
31680,18/212 - GRUGAN
31720,28/204 - GUILFORD
31752,17/218 - GULICH
31960,14/208 - HAINES
31992,14/209 - HALF MOON
32032,22/405 - HALIFAX
32040,22/204 - HALIFAX
32056,66/412 - HALLAM
32080,57/404 - HALLSTEAD
32120,06/408 - HAMBURG
32144,01/208 - HAMILTON
32152,28/205 - HAMILTON
32168,42/207 - HAMILTON
32176,45/205 - HAMILTON
32192,58/214 - HAMILTON
