State/Local,Condition,BR Key,Bridge Id,County,Municipality,Location/Structure Name,Feature Carried,Feature Intersected,Owner,Length (ft),Deck Area (sq ft),Number of Spans,Material,Structure Type,Year Built,Posting Status,Weight Limit Single,Weight Limit Combination,Deck Condition,Superstructure Condition,Substructure Condition,Culvert Condition,Planning Partner,Average Daily Traffic
S,Good,594,02002801211214,ALLEGHENY,Etna Borough,RT 0028 OVER BUTLER ST,SR 0028 SB,SR 1001 BUTLER ST.,STATE HIGHWAY AGENCY,392,17052,4,Steel,I-riveted beams,1960,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,30365
S,Good,598,02002801400000,ALLEGHENY,"Etna Borough, Sharpsburg Borough",@ ETNA INTERCHANGE,SR 28 NB,"SR.8 NB/SB,N.MAIN,RR SP.",STATE HIGHWAY AGENCY,876,31010.4,11,Steel,I-welded beams,1960,"OPEN, NO RESTRICTION",N/A,N/A,8 - Very Good,8 - Very Good,8 - Very Good,N - Not applicable.,SPC,37917
S,Good,605,02002801600000,ALLEGHENY,Sharpsburg Borough,3/4 MI.WEST OF HIGH.PARK,SR 28 NB,"KITTANNING PIKE,CREEK",STATE HIGHWAY AGENCY,522,20880,6,Steel,I-welded beams,1963,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,37917
S,Good,607,02002801610000,ALLEGHENY,Sharpsburg Borough,RT 28 SB OVER KITTANNING,SR 28 SB,"KITTANNING PIKE,SEITZ RU",STATE HIGHWAY AGENCY,570,22344,6,Prestressed precast concrete (P/S),I beams,1963,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,37663
S,Good,610,02002801701326,ALLEGHENY,Sharpsburg Borough,N.B. @ SCOUT RESERVATION,SR 0028 SH,SCOUT RESERVATION ROAD,STATE HIGHWAY AGENCY,94,5076,1,Steel,I beams,1963,"OPEN, NO RESTRICTION",N/A,N/A,8 - Very Good,7 - Good,7 - Good,N - Not applicable.,SPC,37917
S,Good,612,02002801710955,ALLEGHENY,Ohara Township,SHARPSBURG O/SCOUT RES.RD,00 0028 S.B.,SCOUT RESERVATION ROAD,STATE HIGHWAY AGENCY,158,6193.6,3,Prestressed precast concrete (P/S),Box beam - (spread),1963,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,8 - Very Good,7 - Good,N - Not applicable.,SPC,37663
S,Good,614,02002801801373,ALLEGHENY,Aspinwall Borough,ASPINWALL OVER CENTER AVE,SR 0028 NB,CENTER AVE.,STATE HIGHWAY AGENCY,58,2262,1,Concrete (cast in place),Rigid frame,1965,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,38117
S,Good,617,02002801811015,ALLEGHENY,Aspinwall Borough,ASPINWALL OVER CENTER AVE,SR 0028 SB,CENTER AVE,STATE HIGHWAY AGENCY,58,2262,1,Concrete (cast in place),Rigid frame,1965,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,34577
S,Good,637,02002802901112,ALLEGHENY,Harmar Township,SR 28 NB OVER TURNPIKE,SR 0028 NB,PA TURNPIKE,STATE HIGHWAY AGENCY,187,10864.7,3,Steel,I-welded beams,1970,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,24368
S,Good,646,02002803700568,ALLEGHENY,East Deer Township,RT 28 NB O/BAILEYS RUN RD,RT 0028 NB,"BAILEYS RUN RD.,CREEK",STATE HIGHWAY AGENCY,444,19536,4,Steel,I-welded beams,1976,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,21736
S,Good,647,02002803710878,ALLEGHENY,East Deer Township,1 MI.S.W. OF TARENTUM BRG,RT 0028 SB,"BAILEYS RUN RD.,CREEK",STATE HIGHWAY AGENCY,440,24640,4,Steel,I-welded beams,1976,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,20245
S,Good,673,02003002500254,ALLEGHENY,East Pittsburgh Borough,RT 30 OVER BESSEMER AVE,SR 0030 EB WB,OVER BESSEMER AVE,STATE HIGHWAY AGENCY,58,3248,1,Steel,I beams,1937,"OPEN, NO RESTRICTION",N/A,N/A,8 - Very Good,8 - Very Good,8 - Very Good,N - Not applicable.,SPC,24140
S,Good,676,02003002700259,ALLEGHENY,North Versailles Township,RT 30 OVER SR 2037 NB,RT 0030 EB WB,SR 2037 NB TRIBORO,STATE HIGHWAY AGENCY,143,8723,3,Prestressed precast concrete (P/S),Box beam - (spread),1970,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,24140
S,Good,689,02005000200735,ALLEGHENY,South Fayette Township,1/2 MI FROM WASH CO LINE,SR 0050 SH,MILLERS RUN,STATE HIGHWAY AGENCY,46,4600,2,Concrete (cast in place),Box culvert,1972,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,11250
S,Good,690,02005000300745,ALLEGHENY,South Fayette Township,1 MI N OF WASH COUNT LINE,SR 0050,MILLERS RUN,STATE HIGHWAY AGENCY,46,4600,2,Concrete (cast in place),Box culvert,1972,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,9568
S,Good,718,02005101210210,ALLEGHENY,West Elizabeth Borough,TR 51 SB OVER TR 837,SR 0051 SB,SR 0837,STATE HIGHWAY AGENCY,90,2835,1,Steel,I-riveted beams,1951,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,10480
S,Good,727,02005102100000,ALLEGHENY,Jefferson Hills Borough,1/2 MI S PLEAS HILLS LINE,SR 0051 NB SB,LEWIS RUN,STATE HIGHWAY AGENCY,30,2007,1,Prestressed precast concrete (P/S),Box beam - (spread),1935,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,8 - Very Good,7 - Good,N - Not applicable.,SPC,23832
S,Good,758,02005107200172,ALLEGHENY,Moon Township,300' FROM INT SR 3087,FOURTH ST,THORN RUN,STATE HIGHWAY AGENCY,19,589,1,Concrete (cast in place),Box culvert,1968,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,12753
S,Good,759,02005107210328,ALLEGHENY,Moon Township,NEAR SR 3087,FIFTH AVE,THORN RUN,STATE HIGHWAY AGENCY,19,889.2,1,Concrete (cast in place),Box culvert,1960,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,10777
S,Good,779,02037605741141,ALLEGHENY,Moon Township,W OF MONTOUR RUN,SR 0376 EB WB,BRANCH OF MCCLARENS RUN,STATE HIGHWAY AGENCY,12,1104,1,Concrete (precast),Box culvert,1991,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,40716
S,Good,780,02037605740581,ALLEGHENY,Findlay Township,W OF MONTOUR RUN,I-376 and Ramps,MCCLARENS RUN,STATE HIGHWAY AGENCY,14,1288,1,Concrete (precast),Box culvert,1991,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,40716
S,Good,785,02037605542251,ALLEGHENY,Findlay Township,0.4 MI. WEST OF SR 3070,SOUTHERN EX,BR. MONTOUR RUN,STATE HIGHWAY AGENCY,8,944,1,Concrete (precast),Pipe culvert,1991,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,40625
S,Good,786,02037605511753,ALLEGHENY,Findlay Township,NEAR MCCLAREN RN RD INTCH,AIRPORT RD,SERVICE RD & MCCLAREN RN,STATE HIGHWAY AGENCY,560,36232,4,Steel,I-welded beams,1992,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,20426
S,Good,787,02037605501337,ALLEGHENY,Findlay Township,NEAR MCCLAREN RN RD INTCH,AIRPORT EX,SERVICE RD & MCCLAREN RN,STATE HIGHWAY AGENCY,551,29588.7,4,Steel,I-welded beams,1992,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,20199
S,Good,797,02037605101223,ALLEGHENY,Findlay Township,1700'S. RP.FR-A STRUCTURE,SOUTHERN EX,RAREDON RUN,STATE HIGHWAY AGENCY,8,768,2,Concrete (precast),Pipe culvert,1991,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,21288
S,Good,809,02006500040859,ALLEGHENY,Pittsburgh City,TR 65 NB O/FONTELLA ST.,SR 0065 NB,FONTELLA ST.,STATE HIGHWAY AGENCY,94,6514.2,1,Prestressed precast concrete (P/S),Box beam - (spread),1991,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,19740
S,Good,813,02006500050000,ALLEGHENY,Pittsburgh City,1039 S.B. O/ALLEGHENY AVE,SR 0065 SB,ALLEHGHENY AV.& RP.B,STATE HIGHWAY AGENCY,133,8445.5,1,Steel,I-welded beams,1968,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,19641
S,Good,815,02006500050356,ALLEGHENY,Pittsburgh City,TR 65 SB O/FONTELLA ST.,SR 0065 SB,FONTELLA ST.,STATE HIGHWAY AGENCY,626,40064,6,Prestressed precast concrete (P/S),I beams,1991,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,19641
S,Good,843,02006501401735,ALLEGHENY,Glenfield Borough,1/4 MI. S.E. OF SR 0079,OHIO RIVER BL,GLENFIELD ROAD,STATE HIGHWAY AGENCY,142,10792,1,Steel,I-welded beams,1975,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,16102
S,Good,866,02007905601630,ALLEGHENY,Collier Township,I 79 NB OVER SR 3048,RAYMOND  SHAFER HW,SR 3048-NOBLESTOWN RD.,STATE HIGHWAY AGENCY,119,8758.4,1,Steel,I-welded beams,1972,"OPEN, NO RESTRICTION",N/A,N/A,8 - Very Good,7 - Good,7 - Good,N - Not applicable.,SPC,26853
S,Good,868,02007905611617,ALLEGHENY,Collier Township,I 79 SB OVER SR 3048,RAYMOND  SHAFER HW,NOBLESTOWN RD.,STATE HIGHWAY AGENCY,119,9996,1,Steel,I-welded beams,1972,"OPEN, NO RESTRICTION",N/A,N/A,8 - Very Good,7 - Good,7 - Good,N - Not applicable.,SPC,37783
S,Good,869,02007905611956,ALLEGHENY,Collier Township,.25 MI.SOUTH OF EWING RD,RAYMOND  SHAFER HW,"PITT-IND RR, ROBINSON RU",STATE HIGHWAY AGENCY,607,29439.5,5,Steel,I-welded beams,1972,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,38691
S,Good,872,02007905702199,ALLEGHENY,Robinson Township,I-79  CAMPBELLS RUN,RAYMOND  SHAFER HW,CAMPBELLS RUN,STATE HIGHWAY AGENCY,17,884,1,Concrete (cast in place),Arch culvert,1975,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,65544
S,Good,877,02007905800774,ALLEGHENY,Robinson Township,I-79 N.B. OVER 0376 EB-WB,RAYMOND SHAFER HW,SR 0022,STATE HIGHWAY AGENCY,165,9223.5,1,Steel,I-welded beams,1973,"OPEN, NO RESTRICTION",N/A,N/A,8 - Very Good,8 - Very Good,7 - Good,N - Not applicable.,SPC,24205
S,Good,879,02007905801553,ALLEGHENY,Robinson Township,I-79 NB O/CAMPBELLS RN RD,RAYMOND SHAFER HW,CAMPBELLS RUN RD,STATE HIGHWAY AGENCY,67,3169.1,1,Prestressed precast concrete (P/S),Box beam - adj,1973,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,8 - Very Good,7 - Good,N - Not applicable.,SPC,24205
S,Good,881,02007905810857,ALLEGHENY,Robinson Township,SR79 SB OVER  0376 EB-WB,RAYMOND SHAFER HW,SR 0376,STATE HIGHWAY AGENCY,159,8856.3,1,Steel,I-welded beams,1973,"OPEN, NO RESTRICTION",N/A,N/A,8 - Very Good,8 - Very Good,7 - Good,N - Not applicable.,SPC,24277
S,Good,882,02007905811472,ALLEGHENY,Robinson Township,I-79 SB O/CAMPBELLS RN RD,RAYMOND P SHAFE HY,CAMPBELLS RUN RD,STATE HIGHWAY AGENCY,68,3876,1,Prestressed precast concrete (P/S),Box beam - adj,1973,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,24277
S,Good,894,02007906441023,ALLEGHENY,Robinson Township,GROVETON-I79 NB OVER TR51,RAYMOND SHAFER HW,SR 0051 AT GROVETON,STATE HIGHWAY AGENCY,183,8052,3,Steel,I-welded beams,1974,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,28563
S,Good,941,02013002420670,ALLEGHENY,Turtle Creek Borough,1800'N.OF SR 2112,BROWN AV,SAW MILL RUN,STATE HIGHWAY AGENCY,10,200,1,Concrete (precast),Box culvert,1987,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,9463
S,Good,947,02013000920560,ALLEGHENY,Penn Hills Township,500' SOUTH OF SR 2058,COAL HOLLOW RD,SANDY CREEK,STATE HIGHWAY AGENCY,14,546,1,Concrete (cast in place),Box culvert,1961,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,13857
S,Good,971,02037606341908,ALLEGHENY,Robinson Township,1000' EAST OF SR 0079,PARKWAY WEST,CAMPBELLS RUN ROAD,STATE HIGHWAY AGENCY,123,12300,3,Steel,I beams,1973,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,81977
S,Good,988,02037606700490,ALLEGHENY,Greentree Borough,GREENTREE INTERCHANGE,376 EB-WB,POPLAR AVENUE,STATE HIGHWAY AGENCY,115,9200,3,Steel,I beams,1952,"OPEN, NO RESTRICTION",N/A,N/A,8 - Very Good,7 - Good,7 - Good,N - Not applicable.,SPC,84483
S,Good,999,02037606801910,ALLEGHENY,Pittsburgh City,@ INT W/ SR 0019,PENN LINCOLN PKWY,BANKSVILLE RD. S.B.,STATE HIGHWAY AGENCY,185,16187.5,3,Steel,I beams,1953,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,77805
S,Good,1040,02027900121567,ALLEGHENY,Pittsburgh City,UNDER & PARALLEL TO I-279,SR 279 SR,BOX CULVERT SEWER,STATE HIGHWAY AGENCY,12,732,1,Concrete (cast in place),Box culvert,1986,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,17076
S,Good,1053,02027900222307,ALLEGHENY,Pittsburgh City,NEAR ST. BONIFACE CHURCH,EAST ST.,STORM SEWER,STATE HIGHWAY AGENCY,10,240,1,Concrete (precast),Pipe culvert,1986,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,39677
S,Good,1056,02027900260284,ALLEGHENY,Pittsburgh City,I-279 OVER SUFFOLK ST.,SR 0279 NB SB,SUFFOLK ST.,STATE HIGHWAY AGENCY,130,20215,1,Steel,I-welded beams,1987,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,80434
S,Good,1078,02027900561458,ALLEGHENY,Ross Township,OVER HOV LANE @ PARK&RIDE,RAYMOND E WILT  HW,I-279 - HOV LANE,STATE HIGHWAY AGENCY,100,5800,1,Prestressed precast concrete (P/S),I beams,1987,"OPEN, NO RESTRICTION",N/A,N/A,8 - Very Good,7 - Good,7 - Good,N - Not applicable.,SPC,26088
S,Good,1087,02027900821916,ALLEGHENY,Ohio Township,AT CAMP HORNE INTERCHANGE,RAYMOND E WILT HW,LOWRIES RUN,STATE HIGHWAY AGENCY,48,5808,1,Concrete (cast in place),Arch culvert,1987,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,45374
S,Good,1102,02028600302662,ALLEGHENY,Monroeville Borough,50'S.OF INTER.W/SR 2086,GOLDEN MILE HY,PIERSONS RUN,STATE HIGHWAY AGENCY,21,1176,1,Concrete (cast in place),Arch culvert,1950,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,17806
S,Good,1106,02028600801030,ALLEGHENY,Plum Borough,NEAR SR 2066,GOLDEN MILE HY,HUMMS RUN,STATE HIGHWAY AGENCY,14,798,1,Concrete (cast in place),Box culvert,1950,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,16638
S,Good,1201,02209200100000,ALLEGHENY,Penn Hills Township,JEFFERSON HTS.RD.O/I376,JEFFERSON-HTS RD,LR 187 PAR-I 376,STATE HIGHWAY AGENCY,250,10250,3,Steel,I-welded beams,1962,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,2286
S,Good,1217,02040000050417,ALLEGHENY,Pittsburgh City,TR 380 W.B.OVER 7TH AVE,BIGELOW BLVD,7TH AVE,STATE HIGHWAY AGENCY,102,4590,1,Steel,I-welded beams,1960,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,11131
S,Good,1219,02040000040288,ALLEGHENY,Pittsburgh City,NEAR US STEEL BLDG,RAMP G RD,7th Ave. over I-579,STATE HIGHWAY AGENCY,280,14140,3,Steel,I-welded beams,1962,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,10799
S,Good,1233,02040003600000,ALLEGHENY,Plum Borough,3/4 MI. EAST OF PA. PIKE,SALTSBURG RD.,PLUM CREEK,STATE HIGHWAY AGENCY,12,408,1,Concrete (cast in place),Box culvert,1980,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,8579
S,Good,1235,02214400100000,ALLEGHENY,Pittsburgh City,CENTER AVE. OVER 1026,CENTER AVE,"I-579, CROSSTOWN",STATE HIGHWAY AGENCY,170,14365,2,Steel,I-welded beams,1962,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,8050
S,Good,1236,02214600100000,ALLEGHENY,Pittsburgh City,Bigelow Blvd over I-579,Bigelow Blvd,I-579,STATE HIGHWAY AGENCY,265,15237.5,3,Steel,I-welded beams,1962,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,3732
S,Good,1240,02057900031060,ALLEGHENY,Pittsburgh City,579 SB.OVER RAMP D,CROSSTOWN BLVD,7TH AVE RAMP D,STATE HIGHWAY AGENCY,118,5994.4,2,Steel,I beams,1962,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,27514
S,Good,1245,02057900050000,ALLEGHENY,Pittsburgh City,Veterans Bridge,I-579 SB,"N-S RR,PAT LRT,PAT EBSWY",STATE HIGHWAY AGENCY,1589,69121.5,10,Steel,I-welded beams,1986,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,27514
S,Good,1283,02083704300000,ALLEGHENY,"Pittsburgh City, West Homestead Borough",Homestead Interchange,SR 837,BALDWIN ROAD,STATE HIGHWAY AGENCY,739,15888.5,11,Steel,I beams,1966,"OPEN, NO RESTRICTION",N/A,N/A,8 - Very Good,8 - Very Good,7 - Good,N - Not applicable.,SPC,7917
S,Good,1286,02083704310000,ALLEGHENY,"Pittsburgh City, West Homestead Borough",Homestead Interchange,SR 837 SB,"RPS. C&D,RP.CARSON,LOCAL",STATE HIGHWAY AGENCY,819,24324.3,12,Steel,I beams,1966,"OPEN, NO RESTRICTION",N/A,N/A,8 - Very Good,8 - Very Good,7 - Good,N - Not applicable.,SPC,8914
S,Good,1307,02088502300000,ALLEGHENY,Pittsburgh City,AT GLENWOOD INTERCHANGE,MIFFLIN RD,SR 8059,STATE HIGHWAY AGENCY,59,2684.5,1,Prestressed precast concrete (P/S),Box beam - (spread),1967,"OPEN, NO RESTRICTION",N/A,N/A,8 - Very Good,7 - Good,7 - Good,N - Not applicable.,SPC,7822
S,Good,1309,02088502300539,ALLEGHENY,Pittsburgh City,GLENWOOD INTERCHANGE,MIFFLIN RD,SR 8059(RAMP A),STATE HIGHWAY AGENCY,79,5530,1,Prestressed precast concrete (P/S),Box beam - (spread),1967,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,16076
S,Good,1333,02091002100193,ALLEGHENY,Richland Township,150' EAST OF SR 0008,GIBSONIA RD,WEST BRANCH DEER CREEK,STATE HIGHWAY AGENCY,28,1008,1,Concrete (cast in place),Slab (solid),1966,"OPEN, NO RESTRICTION",N/A,N/A,8 - Very Good,8 - Very Good,7 - Good,N - Not applicable.,SPC,9313
S,Good,1348,02097800400509,ALLEGHENY,South Fayette Township,539' NORTH OF SR 3026,BATTLE RIDGE RD,DOLPHIN RUN,STATE HIGHWAY AGENCY,26,858,1,Concrete (cast in place),Slab (solid),1929,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,2789
S,Good,1389,02100600360000,ALLEGHENY,Indiana Township,NEAR SR 1013,KLEIN RD,LITTLE PINE CREEK,STATE HIGHWAY AGENCY,19,630.8,1,Concrete (precast),Channel beams,1986,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,7 - Good,7 - Good,N - Not applicable.,SPC,1408
S,Good,1402,02101100301942,ALLEGHENY,Harmar Township,1 1/2 MI.N. OF SR 0028,GUYS RUN RD,GUYS RUN,STATE HIGHWAY AGENCY,27,756,1,Concrete (cast in place),Slab (solid),1936,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,3661
S,Good,1407,02101300500634,ALLEGHENY,Indiana Township,.2 MI. N./OHARA TWP. LINE,SAXONBURG BL,LITTLE PINE CREEK,STATE HIGHWAY AGENCY,60,2124,1,Steel,I beams,1939,"OPEN, NO RESTRICTION",N/A,N/A,8 - Very Good,8 - Very Good,7 - Good,N - Not applicable.,SPC,3085
S,Good,1408,02101300900000,ALLEGHENY,Indiana Township,.4 MI N OF SR 1010,SAXONBURG BLVD,BRANCH LITTLE PINE CREEK,STATE HIGHWAY AGENCY,19,573.8,1,Concrete (cast in place),Slab (solid),1900,"OPEN, NO RESTRICTION",N/A,N/A,7 - Good,7 - Good,7 - Good,N - Not applicable.,SPC,4497
S,Good,1409,02101300900313,ALLEGHENY,Indiana Township,.4 MI. NORTH OF SR 1010,SAXONBURG BL,BRANCH LITTLE PINE CREEK,STATE HIGHWAY AGENCY,11,407,1,Concrete (cast in place),Box culvert,1980,"OPEN, NO RESTRICTION",N/A,N/A,N - Not applicable.,N - Not applicable.,N - Not applicable.,7 - Good,SPC,4497
